Whole Person Physiome Table for Digestive System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Jacob C. Scherba,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-8187-0507,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Rebecca Wells,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-6988-4102,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,8/6/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physiological Function,,,,,,,,,,,,,,,,,,,,,,,,,Physiological Process,,,,,,,,,,,,,,,,,,,,,,,,Scales of Effect,,,Clinical Metrics,,,,,,,,,,,,Interacting Functions,,,,,,,,,,,,Reference Material,,,,,,,,,,,,Common Data Elements,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in FunctionNotes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,,,,,,,,,,Enter notes here from primary texts on quantitative information available for the processes denoted to the left,"Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,,"REQUIRED IF AVAILABLE. For each row, enter any corresponding common data elements (CDEs) that relate to the process.  Add more sets of CDE columns if needed, making sure to include the ID column.",,,,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,FunctionNotes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Signal/LABEL,Signal/ID,Effect,Behavior,Behavior X,Behavior X/LABEL,Behavior X/ID,Behavior Y,Behavior Y/LABEL,Behavior Y/ID,Behavior Z,Behavior Z/LABEL,Behavior Z/ID,X Target,QuantitativeNotes,TimeScale,SignalScale,EffectScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES,CDE/1,CDE/1/ID,CDE/2,CDE/2/ID,CDE/3,CDE/3/ID,CDE/4,CDE/4/ID,CDE/5,CDE/5/ID,CDE/6,CDE/6/ID,CDE/7,CDE/7/ID
digestive system,digestive system process,GO:0022602,motility,digestive tract motility,,smooth muscle excitability,smooth muscle contraction,GO:0006939,slow wave generation and tone,,,,,,,,,,,,,,,"GRAMMAR NOTE: slow-wave pacemaking by interstitial cells of Cajal is represented as a signal on smooth muscle rather than as a behavior of the ICC, because generating a rhythm is not an act in the current term set",Gastrointestinal smooth muscle maintains baseline tone,cell,intestine,intestine,UBERON:0000160,smooth muscle cell,smooth muscle cell,CL:0000192,,,,does,contraction,,,,,,,,,,,resting tone; contraction occurs only when slow-wave depolarisation reaches threshold,seconds-minutes,,intra-organ,antroduodenal manometry,,,gastric emptying scintigraphy,,,whole gut transit time,,,,,,interstitial cells of Cajal,,,enteric nervous system,,,vagal parasympathetic input,,,sympathetic nervous system,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,28,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,motility,digestive tract motility,,smooth muscle excitability,smooth muscle contraction,GO:0006939,slow wave generation and tone,,,,,,,,,,,,,,,,Slow waves set the maximum frequency of phasic contraction in each region,cell,intestine,intestine,UBERON:0000160,smooth muscle cell,smooth muscle cell,CL:0000192,slow wave depolarisation,,,increases,contraction X,frequency,,,,,,,,,,"region-specific: stomach ~3/min, duodenum ~12/min, ileum ~8/min, colon 3-12/min",seconds,intra-organ,intra-organ,antroduodenal manometry,,,gastric emptying scintigraphy,,,whole gut transit time,,,,,,interstitial cells of Cajal,,,enteric nervous system,,,vagal parasympathetic input,,,sympathetic nervous system,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,28,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,motility,digestive tract motility,,smooth muscle excitability,smooth muscle contraction,GO:0006939,slow wave generation and tone,,,,,,,,,,,,,,,,Enteric excitatory motor neurons increase contractile force through acetylcholine,cell,intestine,intestine,UBERON:0000160,smooth muscle cell,smooth muscle cell,CL:0000192,acetylcholine,,,increases,contraction X,force,,,,,,,,,,muscarinic M3; depolarises the slow-wave plateau and increases spike-burst number,seconds,paracrine,intra-organ,antroduodenal manometry,,,gastric emptying scintigraphy,,,whole gut transit time,,,,,,interstitial cells of Cajal,,,enteric nervous system,,,vagal parasympathetic input,,,sympathetic nervous system,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,28,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,motility,digestive tract motility,,smooth muscle excitability,smooth muscle contraction,GO:0006939,slow wave generation and tone,,,,,,,,,,,,,,,,Substance P co-transmits with acetylcholine at excitatory motor endings,cell,intestine,intestine,UBERON:0000160,smooth muscle cell,smooth muscle cell,CL:0000192,substance P,,,increases,contraction X,force,,,,,,,,,,,seconds,paracrine,intra-organ,antroduodenal manometry,,,gastric emptying scintigraphy,,,whole gut transit time,,,,,,interstitial cells of Cajal,,,enteric nervous system,,,vagal parasympathetic input,,,sympathetic nervous system,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,28,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,motility,digestive tract motility,,smooth muscle excitability,smooth muscle contraction,GO:0006939,slow wave generation and tone,,,,,,,,,,,,,,,"nitrergic, VIPergic and purinergic transmission together constitute the NANC inhibitory pathway",Inhibitory motor neurons relax smooth muscle through nitric oxide,cell,intestine,intestine,UBERON:0000160,smooth muscle cell,smooth muscle cell,CL:0000192,nitric oxide,,,decreases,contraction X,force,,,,,,,,,,,seconds,paracrine,intra-organ,antroduodenal manometry,,,gastric emptying scintigraphy,,,whole gut transit time,,,,,,interstitial cells of Cajal,,,enteric nervous system,,,vagal parasympathetic input,,,sympathetic nervous system,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,28,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,motility,digestive tract motility,,smooth muscle excitability,smooth muscle contraction,GO:0006939,slow wave generation and tone,,,,,,,,,,,,,,,,VIP mediates sustained NANC inhibition,cell,intestine,intestine,UBERON:0000160,smooth muscle cell,smooth muscle cell,CL:0000192,vasoactive intestinal peptide,,,decreases,contraction X,force,,,,,,,,,,,seconds,paracrine,intra-organ,antroduodenal manometry,,,gastric emptying scintigraphy,,,whole gut transit time,,,,,,interstitial cells of Cajal,,,enteric nervous system,,,vagal parasympathetic input,,,sympathetic nervous system,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,28,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,motility,digestive tract motility,,smooth muscle excitability,smooth muscle contraction,GO:0006939,slow wave generation and tone,,,,,,,,,,,,,,,,Purinergic transmission hyperpolarises smooth muscle and reduces contraction,cell,intestine,intestine,UBERON:0000160,smooth muscle cell,smooth muscle cell,CL:0000192,adenosine triphosphate,,,decreases,contraction X,force,,,,,,,,,,purinergic P2Y1-mediated hyperpolarisation,seconds,paracrine,intra-organ,antroduodenal manometry,,,gastric emptying scintigraphy,,,whole gut transit time,,,,,,interstitial cells of Cajal,,,enteric nervous system,,,vagal parasympathetic input,,,sympathetic nervous system,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,28,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,motility,digestive tract motility,,smooth muscle excitability,smooth muscle contraction,GO:0006939,slow wave generation and tone,,,,,,,,,,,,,,,,Sympathetic outflow inhibits non-sphincteric smooth muscle,cell,intestine,intestine,UBERON:0000160,smooth muscle cell,smooth muscle cell,CL:0000192,norepinephrine,,,decreases,contraction X,force,,,,,,,,,,,seconds,systemic,systemic,antroduodenal manometry,,,gastric emptying scintigraphy,,,whole gut transit time,,,,,,interstitial cells of Cajal,,,enteric nervous system,,,vagal parasympathetic input,,,sympathetic nervous system,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,28,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,motility,digestive tract motility,,esophageal transit,peristalsis,GO:0030432,swallowing and peristalsis,peristalsis,GO:0030432,,,,,,,,,,,,,striated muscle in the upper third is under direct vagal motor control; smooth muscle below is coordinated by the enteric nervous system,A primary peristaltic wave carries the swallowed bolus to the stomach,organ,esophagus,esophagus,UBERON:0001043,esophagus,,,,,,does,transport of X from Y to Z,swallowed bolus,,,pharynx,,,stomach,,,"[8, 10]",units = seconds transit; primary peristaltic wave travels at 3-4 cm/s,seconds,,intra-organ,high-resolution esophageal manometry,,,esophageal transit time,,,,,,,,,vagal parasympathetic input,,,enteric nervous system,,,,,,,,,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,13,,,,,,,,,,,,,,,,,,,,,,,
